"sample","campaignid","direction","broad.ascidians","broad.black.octocorals","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.matrix","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","broad.total.points.annotated","latitude","longitude","date","site","location","successful.count"
"1","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,4,0,0,16,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,8,0,0,9,0,0,3,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,4,0,0,16,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_West-Coast_BOSS","E",0,0,0,1,0,0,15,0,0,0,0,0,0,16,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"1","2021-03_West-Coast_BOSS","N",0,0,0,1,0,0,14,0,0,0,0,0,1,16,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"1","2021-03_West-Coast_BOSS","S",0,0,0,6,0,0,11,0,0,0,0,0,4,21,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"1","2021-03_West-Coast_BOSS","W",0,0,0,2,0,0,13,0,0,0,0,0,5,20,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"10","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,6,0,0,14,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_West-Coast_BOSS","E",0,0,0,1,0,0,12,0,0,2,0,0,0,15,-34.1084,114.886,"20210308",NA,"South-west Corner","Yes"
"10","2021-03_West-Coast_BOSS","N",0,0,0,3,0,0,12,0,0,0,0,0,4,19,-34.1084,114.886,"20210308",NA,"South-west Corner","Yes"
"10","2021-03_West-Coast_BOSS","S",0,0,0,2,0,0,17,0,0,0,0,0,1,20,-34.1084,114.886,"20210308",NA,"South-west Corner","Yes"
"10","2021-03_West-Coast_BOSS","W",0,0,0,1,0,0,17,0,0,0,2,0,0,20,-34.1084,114.886,"20210308",NA,"South-west Corner","Yes"
"100","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,1,0,0,19,20,-33.5658,115.2022,"20210302",NA,"Geographe","Y"
"100","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-33.5658,115.2022,"20210302",NA,"Geographe","Y"
"100","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-33.5658,115.2022,"20210302",NA,"Geographe","Y"
"100","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-33.5658,115.2022,"20210302",NA,"Geographe","Y"
"100","2021-03_West-Coast_BOSS","E",0,0,0,7,0,0,5,0,0,0,0,0,8,20,-34.0961,114.847,"20210309",NA,"South-west Corner","Yes"
"100","2021-03_West-Coast_BOSS","N",0,0,0,1,0,0,17,0,0,0,1,0,1,20,-34.0961,114.847,"20210309",NA,"South-west Corner","Yes"
"100","2021-03_West-Coast_BOSS","S",0,0,0,3,0,0,9,0,0,0,0,0,8,20,-34.0961,114.847,"20210309",NA,"South-west Corner","Yes"
"100","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,4,0,0,9,2,0,5,20,-34.0961,114.847,"20210309",NA,"South-west Corner","Yes"
"101","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,2,0,0,3,0,0,15,20,-33.5635,115.1855,"20210302",NA,"Geographe","Y"
"101","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,4,0,0,7,1,0,8,20,-33.5635,115.1855,"20210302",NA,"Geographe","Y"
"101","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5635,115.1855,"20210302",NA,"Geographe","Y"
"101","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,2,0,0,7,0,0,11,20,-33.5635,115.1855,"20210302",NA,"Geographe","Y"
"101","2021-03_West-Coast_BOSS","E",0,0,0,10,0,1,4,0,0,0,1,0,4,20,-34.0917,114.782,"20210310",NA,"South-west Corner","Yes"
"101","2021-03_West-Coast_BOSS","N",0,0,0,6,0,2,1,0,0,0,2,0,9,20,-34.0917,114.782,"20210310",NA,"South-west Corner","Yes"
"101","2021-03_West-Coast_BOSS","S",0,0,0,5,0,0,2,0,0,0,0,0,13,20,-34.0917,114.782,"20210310",NA,"South-west Corner","Yes"
"101","2021-03_West-Coast_BOSS","W",0,0,0,2,0,2,0,0,0,0,2,0,14,20,-34.0917,114.782,"20210310",NA,"South-west Corner","Yes"
"102","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,17,0,0,2,0,0,0,19,-34.1305,114.926,"20210308",NA,"South-west Corner","Yes"
"102","2021-03_West-Coast_BOSS","N",0,0,0,2,0,0,6,0,0,12,0,0,0,20,-34.1305,114.926,"20210308",NA,"South-west Corner","Yes"
"102","2021-03_West-Coast_BOSS","S",0,0,0,0,0,0,10,0,0,6,0,0,3,19,-34.1305,114.926,"20210308",NA,"South-west Corner","Yes"
"102","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,14,0,0,6,0,0,0,20,-34.1305,114.926,"20210308",NA,"South-west Corner","Yes"
"103","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5593,115.3395,"20210304",NA,"Geographe",""
"103","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,2,0,0,18,0,0,0,20,-33.5593,115.3395,"20210304",NA,"Geographe",""
"103","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,20,0,0,0,20,-33.5593,115.3395,"20210304",NA,"Geographe",""
"103","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,21,0,0,0,21,-33.5593,115.3395,"20210304",NA,"Geographe",""
"103","2021-03_West-Coast_BOSS","E",0,0,0,0,0,1,2,0,0,0,2,0,12,17,-34.0866,114.774,"20210310",NA,"South-west Corner","Yes"
"103","2021-03_West-Coast_BOSS","N",0,3,0,2,0,2,1,0,3,0,7,0,5,20,-34.0866,114.774,"20210310",NA,"South-west Corner","Yes"
"103","2021-03_West-Coast_BOSS","S",0,0,0,0,0,0,4,0,0,0,1,0,7,12,-34.0866,114.774,"20210310",NA,"South-west Corner","Yes"
"103","2021-03_West-Coast_BOSS","W",0,0,0,4,0,5,0,0,0,0,2,0,8,19,-34.0866,114.774,"20210310",NA,"South-west Corner","Yes"
"104","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,8,0,0,12,0,0,0,20,-33.4936,115.4102,"20210305",NA,"Geographe",""
"104","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,4,0,0,16,0,0,0,20,-33.4936,115.4102,"20210305",NA,"Geographe",""
"104","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,11,0,0,0,1,0,8,20,-33.4936,115.4102,"20210305",NA,"Geographe",""
"104","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,16,0,0,4,0,0,0,20,-33.4936,115.4102,"20210305",NA,"Geographe",""
"104","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,7,0,0,5,0,0,0,12,-34.1255,114.918,"20210308",NA,"South-west Corner","Yes"
"104","2021-03_West-Coast_BOSS","N",0,0,0,1,0,0,9,0,0,9,1,0,0,20,-34.1255,114.918,"20210308",NA,"South-west Corner","Yes"
"104","2021-03_West-Coast_BOSS","S",0,0,0,1,0,0,17,0,0,0,0,0,0,18,-34.1255,114.918,"20210308",NA,"South-west Corner","Yes"
"104","2021-03_West-Coast_BOSS","W",0,0,0,3,0,0,11,0,0,6,0,0,0,20,-34.1255,114.918,"20210308",NA,"South-west Corner","Yes"
"105","2021-03_West-Coast_BOSS","E",0,0,0,2,1,11,0,0,0,0,6,0,0,20,-34.0534,114.76,"20210311",NA,"South-west Corner","Yes"
"105","2021-03_West-Coast_BOSS","N",0,0,0,0,0,13,0,0,0,0,2,0,1,16,-34.0534,114.76,"20210311",NA,"South-west Corner","Yes"
"105","2021-03_West-Coast_BOSS","S",0,0,0,2,3,1,0,0,0,0,2,0,12,20,-34.0534,114.76,"20210311",NA,"South-west Corner","Yes"
"105","2021-03_West-Coast_BOSS","W",0,0,0,1,0,1,0,0,0,0,8,0,10,20,-34.0534,114.76,"20210311",NA,"South-west Corner","Yes"
"106","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,2,0,0,13,0,0,5,20,-33.5539,115.2544,"20210303",NA,"Geographe",""
"106","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,10,0,0,2,0,0,8,20,-33.5539,115.2544,"20210303",NA,"Geographe",""
"106","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,12,0,0,6,0,0,2,20,-33.5539,115.2544,"20210303",NA,"Geographe",""
"106","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,7,0,0,4,0,0,10,21,-33.5539,115.2544,"20210303",NA,"Geographe",""
"106","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,9,0,0,3,0,0,2,14,-34.1313,114.875,"20210308",NA,"South-west Corner","Yes"
"106","2021-03_West-Coast_BOSS","N",0,0,0,1,0,0,13,0,0,4,0,0,0,18,-34.1313,114.875,"20210308",NA,"South-west Corner","Yes"
"106","2021-03_West-Coast_BOSS","S",0,0,0,0,0,0,14,0,0,5,1,0,0,20,-34.1313,114.875,"20210308",NA,"South-west Corner","Yes"
"106","2021-03_West-Coast_BOSS","W",0,0,0,1,0,0,12,0,0,6,1,0,0,20,-34.1313,114.875,"20210308",NA,"South-west Corner","Yes"
"107","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,16,0,0,0,0,0,4,20,-34.1347,114.94,"20210308",NA,"South-west Corner","Yes"
"107","2021-03_West-Coast_BOSS","N",0,0,0,0,0,0,18,0,0,0,0,0,0,18,-34.1347,114.94,"20210308",NA,"South-west Corner","Yes"
"107","2021-03_West-Coast_BOSS","S",0,0,0,1,0,0,18,0,0,0,0,0,1,20,-34.1347,114.94,"20210308",NA,"South-west Corner","Yes"
"107","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,19,0,0,0,0,0,1,20,-34.1347,114.94,"20210308",NA,"South-west Corner","Yes"
"108","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,5,0,0,15,0,0,0,20,-33.5274,115.4064,"20210305",NA,"Geographe",""
"108","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,4,0,0,11,0,0,4,19,-33.5274,115.4064,"20210305",NA,"Geographe",""
"108","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,9,0,0,10,0,0,1,20,-33.5274,115.4064,"20210305",NA,"Geographe",""
"108","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,3,0,0,16,0,0,0,19,-33.5274,115.4064,"20210305",NA,"Geographe",""
"108","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,4,0,0,11,0,0,4,19,-34.1001,114.85,"20210309",NA,"South-west Corner","Yes"
"108","2021-03_West-Coast_BOSS","N",0,0,0,0,0,0,13,0,0,2,1,0,0,16,-34.1001,114.85,"20210309",NA,"South-west Corner","Yes"
"108","2021-03_West-Coast_BOSS","S",0,0,0,1,0,0,9,0,0,6,2,0,2,20,-34.1001,114.85,"20210309",NA,"South-west Corner","Yes"
"108","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,14,0,0,6,0,0,0,20,-34.1001,114.85,"20210309",NA,"South-west Corner","Yes"
"109","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-34.0839,114.741,"20210310",NA,"South-west Corner","Yes"
"109","2021-03_West-Coast_BOSS","N",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-34.0839,114.741,"20210310",NA,"South-west Corner","Yes"
"109","2021-03_West-Coast_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-34.0839,114.741,"20210310",NA,"South-west Corner","Yes"
"109","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,20,20,-34.0839,114.741,"20210310",NA,"South-west Corner","Yes"
"11","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,4,0,0,16,0,0,0,20,-33.5567,115.3683,"20210304",NA,"Geographe",""
